"BusinessEntityID","EmailAddressID","EmailAddress","rowguid","ModifiedDate"
"41","41","bryan0@adventure-works.com","CF270087-0505-45FB-975C-1AB089678604","2009-01-14 00:00:00"
"42","42","james0@adventure-works.com","C051B91D-2363-4DCA-B09F-305C4F93412E","2008-12-20 00:00:00"
"43","43","nancy0@adventure-works.com","52C2CDCF-949E-4B7B-BDE9-159ED85E6654","2008-12-26 00:00:00"
"44","44","simon0@adventure-works.com","6AC896ED-318C-4C8B-A5AB-D4E8D036B3E7","2008-12-01 00:00:00"
"45","45","thomas0@adventure-works.com","B95150F5-E806-44C2-9369-270378FA6B03","2009-02-19 00:00:00"
"46","46","eugene1@adventure-works.com","1C2AF5C7-56E5-440F-9FB0-1972EC1CCF1F","2009-02-01 00:00:00"
"47","47","andrew0@adventure-works.com","BC270013-80B6-4067-B60B-4BEEFC2D7739","2009-02-15 00:00:00"
"48","48","ruth0@adventure-works.com","3360C26C-7B6E-4B0A-A688-DBEFEB209CDB","2007-12-30 00:00:00"
"49","49","barry0@adventure-works.com","324C8DCE-06FA-47B9-B7C7-D35590B9A196","2013-11-29 00:00:00"
"50","50","sidney0@adventure-works.com","953FBA2B-5004-4879-ADB8-C6B08F17FA0C","2008-01-26 00:00:00"
"51","51","jeffrey0@adventure-works.com","9B83DF43-8B73-46ED-B821-77000D84BEC1","2008-02-13 00:00:00"
"52","52","doris0@adventure-works.com","01DC29C7-BF48-4F15-A5FA-C3EA72EC94F0","2014-01-31 00:00:00"
"53","53","diane0@adventure-works.com","FAED4878-4CF5-4555-B670-B2B09B6A188A","2008-03-21 00:00:00"
"54","54","bonnie0@adventure-works.com","C6AEB77C-8DFE-4776-985C-E34138643612","2009-12-25 00:00:00"
"55","55","taylor0@adventure-works.com","F407CF1E-B04D-416D-BC69-1AC6E5C24C99","2013-12-31 00:00:00"
"56","56","denise0@adventure-works.com","58F29B04-00B3-44E1-AC87-9AC960FFDA12","2009-01-29 00:00:00"
"57","57","frank1@adventure-works.com","4FEF2A65-2DD3-4107-9785-870DE1727EBC","2009-02-16 00:00:00"
"58","58","kendall0@adventure-works.com","E370F4B0-B1F5-4595-8DA1-5D88B4948341","2008-11-28 00:00:00"
"59","59","bob0@adventure-works.com","2CC9EE3A-8C99-49E1-9033-F850CF668EFA","2008-12-17 00:00:00"
"60","60","pete0@adventure-works.com","55E3E46B-7205-4C7E-882E-63AA895310CC","2009-01-04 00:00:00"
"61","61","diane2@adventure-works.com","B3B18577-A565-47C6-B149-CD2AAE6BD3F0","2009-01-11 00:00:00"
"62","62","john0@adventure-works.com","0F968A24-5E70-4A47-9961-091E31A57849","2014-02-07 00:00:00"
"63","63","maciej0@adventure-works.com","EB76A53A-8095-4A99-89D6-03923CA6EA0E","2010-01-22 00:00:00"
"64","64","michael7@adventure-works.com","77E65F84-6EE8-420A-B072-E13D87C85A45","2010-02-16 00:00:00"
"65","65","randy0@adventure-works.com","B174F86B-CBA7-4B5D-AA83-8A075EE1FDB4","2010-02-16 00:00:00"
"66","66","karan0@adventure-works.com","13A1D31A-8C76-419E-81D5-0B479A2F3AD9","2009-12-15 00:00:00"
"67","67","jay0@adventure-works.com","47E5526E-FE7F-4D11-AED7-14AB5307B97F","2009-02-26 00:00:00"
"68","68","charles0@adventure-works.com","D40BFDBF-6D54-4F67-ACA8-055E8498B995","2009-11-26 00:00:00"
"69","69","steve0@adventure-works.com","BC1283A1-A7FC-4DB2-8344-7F15C000F63F","2009-02-08 00:00:00"
"70","70","david2@adventure-works.com","D62C5B4E-C91F-403F-B630-7B7E0FDA70CE","2008-12-08 00:00:00"
"71","71","michael3@adventure-works.com","3F21EB3B-81AB-46F3-AAE2-A8D5C5EB6A6D","2009-02-08 00:00:00"
"72","72","steven0@adventure-works.com","9D1C4B98-72B0-4E17-8214-2CD2C72F86E9","2008-11-24 00:00:00"
"73","73","carole0@adventure-works.com","703CD060-E4FF-42F4-8F82-41131CCB346E","2008-12-12 00:00:00"
"74","74","bjorn0@adventure-works.com","7ED83953-FA8E-497A-98D6-6B3684BEC822","2008-12-31 00:00:00"
"75","75","michiko0@adventure-works.com","0798AD10-1E34-405A-A440-615634B76E24","2009-01-19 00:00:00"
"76","76","carol0@adventure-works.com","140A9C46-2A64-43FC-ACF2-A76ED2805266","2009-02-05 00:00:00"
"77","77","merav0@adventure-works.com","0A4F7C43-3FED-43FE-947C-69E9FCB0629A","2009-02-24 00:00:00"
"78","78","reuben0@adventure-works.com","D0FC506C-3332-4486-A6B7-4FD20E21245F","2008-12-08 00:00:00"
"79","79","eric1@adventure-works.com","DC243863-A00C-448C-B90F-509DFBE76F12","2010-01-17 00:00:00"
"80","80","sandeep0@adventure-works.com","C7ADB778-4A93-493D-ADAD-FAAF3967A5BA","2010-01-10 00:00:00"
"81","81","mihail0@adventure-works.com","E07A7278-4697-4B4A-A9E0-CAC2583143DE","2009-12-22 00:00:00"
"82","82","jack1@adventure-works.com","5AE3538E-A9A4-49C9-8488-2314F289B6CB","2010-02-24 00:00:00"
"83","83","patrick1@adventure-works.com","621D39FE-5EEA-4840-8131-31375E061E94","2010-02-05 00:00:00"
"84","84","frank3@adventure-works.com","A53C239F-BC9F-447F-A719-59B59A6F482A","2010-01-29 00:00:00"
"85","85","brian2@adventure-works.com","78586E93-83A6-44BB-8F5D-4187F702C040","2009-12-04 00:00:00"
"86","86","ryan0@adventure-works.com","B8A67E8B-15D5-4A9F-8C27-30D86779CEC1","2008-12-29 00:00:00"
"87","87","cristian0@adventure-works.com","2FFF23E9-73FE-48F0-A7ED-168F48B4941F","2008-12-15 00:00:00"
"88","88","betsy0@adventure-works.com","079E435B-5A3A-43A0-B598-9D0D21D8FA4F","2009-12-11 00:00:00"
"89","89","patrick0@adventure-works.com","77B0ABC5-529E-4ABD-89E3-28CBB8761741","2010-01-25 00:00:00"
"90","90","danielle0@adventure-works.com","3B8219C2-8893-4881-AA3C-4D0A752FC4EA","2010-02-13 00:00:00"
"91","91","kimberly0@adventure-works.com","23275F93-2E6C-487F-9FC1-617F8239D050","2010-01-05 00:00:00"
"92","92","tom0@adventure-works.com","E093B00C-F87F-4B93-AF2F-ECD6C9F63B85","2010-03-03 00:00:00"
"93","93","kok-ho0@adventure-works.com","4232D44C-B42C-498E-840F-F2AE44B50F16","2008-12-20 00:00:00"
"94","94","russell0@adventure-works.com","2D083A33-FEDE-4472-9C96-5766E9783351","2008-12-05 00:00:00"
"95","95","jim0@adventure-works.com","933B5FE3-CC08-48FF-AB0F-A812FC642D0B","2008-12-12 00:00:00"
"96","96","elizabeth0@adventure-works.com","DE385467-19F1-41B1-9165-E05E462FBC80","2009-02-23 00:00:00"
"97","97","mandar0@adventure-works.com","1A9E785F-EBCF-454D-B249-2A88F858A2D0","2009-02-03 00:00:00"
"98","98","sameer0@adventure-works.com","DFCC751C-451C-4498-819B-A4692527B0A2","2009-02-04 00:00:00"
"99","99","nuan0@adventure-works.com","12A30695-A604-4312-B65E-19A67FB3FB73","2008-12-30 00:00:00"
"100","100","lolan0@adventure-works.com","4EBF0B6C-141E-4725-B6E7-04D4FB305B80","2009-01-05 00:00:00"
